source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-13,40.0704,-2.1374,Europe/Madrid,30.0,13.5,22.1,0.0,0.0,0.0,10.7
forecast,2026-06-08T19:40:40+00:00,900019,Cuenca,ES,2026-06-14,40.0704,-2.1374,Europe/Madrid,29.4,15.0,22.4,0.0,0.0,0.0,14.7
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-08,40.6293,-3.1669,Europe/Madrid,32.2,17.8,25.6,0.0,0.0,0.0,16.8
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-09,40.6293,-3.1669,Europe/Madrid,31.1,15.4,23.4,0.0,0.0,0.0,21.9
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-10,40.6293,-3.1669,Europe/Madrid,29.0,14.8,21.6,0.0,0.0,0.0,23.0
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-11,40.6293,-3.1669,Europe/Madrid,30.5,14.9,22.1,0.0,0.0,0.0,20.9
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-12,40.6293,-3.1669,Europe/Madrid,32.3,15.9,23.9,0.0,0.0,0.0,13.0
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-13,40.6293,-3.1669,Europe/Madrid,33.3,14.9,24.8,0.0,0.0,0.0,6.6
forecast,2026-06-08T19:40:40+00:00,900020,Guadalajara,ES,2026-06-14,40.6293,-3.1669,Europe/Madrid,33.8,17.2,26.1,0.0,0.0,0.0,10.1
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-08,39.8628,-4.0273,Europe/Madrid,33.9,19.9,27.5,0.0,0.0,0.0,17.8
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-09,39.8628,-4.0273,Europe/Madrid,33.9,18.7,26.7,0.0,0.0,0.0,15.5
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-10,39.8628,-4.0273,Europe/Madrid,32.3,18.1,25.7,0.0,0.0,0.0,12.6
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-11,39.8628,-4.0273,Europe/Madrid,33.1,18.6,26.0,0.0,0.0,0.0,20.1
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-12,39.8628,-4.0273,Europe/Madrid,33.3,19.3,26.5,0.0,0.0,0.0,18.0
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-13,39.8628,-4.0273,Europe/Madrid,34.5,19.1,27.1,0.0,0.0,0.0,19.6
forecast,2026-06-08T19:40:40+00:00,900021,Toledo,ES,2026-06-14,39.8628,-4.0273,Europe/Madrid,35.4,20.6,28.3,0.0,0.0,0.0,17.2
forecast,2026-06-08T19:40:40+00:00,900022,Ávila,ES,2026-06-08,40.6566,-4.6812,Europe/Madrid,27.2,12.3,20.5,0.0,0.0,0.0,17.7
forecast,2026-06-08T19:40:40+00:00,900022,Ávila,ES,2026-06-09,40.6566,-4.6812,Europe/Madrid,24.9,10.7,17.9,0.0,0.0,0.0,19.1
forecast,2026-06-08T19:40:40+00:00,900022,Ávila,ES,2026-06-10,40.6566,-4.6812,Europe/Madrid,23.7,8.5,16.4,0.0,0.0,0.0,19.6
forecast,2026-06-08T19:40:40+00:00,900022,Ávila,ES,2026-06-11,40.6566,-4.6812,Europe/Madrid,27.2,9.2,18.3,0.0,0.0,0.0,17.0
